Plass,BIB,Navn,Land,Klubb,Preikestolhytta,Sognesand,Mål,BAK
70,3,Geir Rykhus,,Fjellgeiter,01:34:13,04:34:43,08:30:52,+02:39:31
71,27,Eirik Grimsmo Busengdal,,,01:43:20,04:26:01,08:31:20,+02:39:59
72,423,Endre Bjånes,,,01:40:19,04:14:43,08:33:01,+02:41:40
73,438,Steinar Voll,,Fjelde IL,01:59:26,04:22:08,08:34:22,+02:43:01
74,196,Erling Mostad,,,01:52:05,04:35:52,08:34:49,+02:43:28
75,400,Håvard Klepp,,,01:48:35,04:42:13,08:35:51,+02:44:30
76,452,Andreas Birlmüller,,Traunsee Bergmarathon,01:59:21,04:41:09,08:36:00,+02:44:39
77,329,Henning Kvinlaug,,Transocean,01:40:53,04:40:26,08:36:27,+02:45:06
78,392,Erik Auestad Svendsen,,Austrått il,01:49:08,04:35:51,08:36:43,+02:45:22
79,129,Armon Hakimi,,,01:59:32,04:37:38,08:37:54,+02:46:33
80,83,Tor Gunnar Aksland,,Sandnes IL Orientering,01:43:27,04:31:02,08:40:20,+02:48:59
81,451,Tim Haugen,,Haugen,01:40:56,04:09:37,08:40:29,+02:49:08
82,447,Trond Fjellet,,,01:52:55,04:33:27,08:41:06,+02:49:45
83,382,Tobias Overvik,,"Gutta, kebab og rulleservice",01:48:40,04:58:27,08:42:50,+02:51:29
84,234,Tommy Mydland,,,01:44:43,04:43:56,08:42:51,+02:51:30
85,226,Frode Ludvigsen,,,01:41:29,04:36:20,08:43:39,+02:52:18
86,491,Oddvar Svihus,,,01:39:43,04:33:24,08:43:45,+02:52:24
87,279,Jonas Henry,,Tempo Triathlon klubb,01:39:44,04:33:24,08:45:43,+02:54:22
88,45,Morten Telstø,,,01:37:23,04:30:54,08:47:39,+02:56:18
89,295,John Henrik Kirkeli,,,01:41:09,04:24:02,08:48:07,+02:56:46
90,384,Trygve Stakkeland,,,01:40:49,04:35:06,08:48:46,+02:57:25
91,368,Marius Hegdal,,Equinor,01:40:51,04:34:58,08:48:50,+02:57:29
92,264,Andreas Kvam,,,01:56:56,04:44:51,08:49:25,+02:58:04
93,270,Marius Bøgild,,SUSi,01:59:23,04:42:25,08:50:06,+02:58:45
94,16,Ane Helgerud,,,01:52:18,04:39:10,08:50:23,+02:59:02
94,104,Reber Roald Iversen,,Dale fjellløpere,02:01:23,04:36:08,08:50:23,+02:59:02
96,472,Bård Elvik,,,01:48:39,04:36:28,08:51:41,+03:00:20
97,386,Ole Jakob Eikanger,,,01:40:57,04:17:28,08:51:57,+03:00:36
98,492,Kristin Hjortnes,,Equinor HABIL,01:49:11,04:40:04,08:52:34,+03:01:13
99,346,Johan Sæter,,SeigOgTreig,01:43:09,04:36:11,08:54:50,+03:03:29
100,493,Fredrik Nordhaug,,Grødem Runners,01:38:34,04:39:19,08:55:13,+03:03:52
101,272,Ragnhild Fridheim Richter,,,01:49:03,04:39:24,08:56:08,+03:04:47
102,86,Ahl Nilsen,,,02:00:21,04:36:02,08:57:28,+03:06:07
103,210,Kjetil Lind,,Hå Fjellspringarlag,01:41:38,04:35:31,08:57:59,+03:06:38
104,444,Håkon Kaste,,,01:54:48,04:50:59,09:00:54,+03:09:33
105,7,Magnus Emil Berge,,,01:49:10,04:35:57,09:01:10,+03:09:49
106,2,Olaug Solheim Klungtveit,,Gjesdal il,01:40:04,04:36:31,09:03:24,+03:12:03
107,113,Martin Hjelmeland,,,02:00:41,04:57:28,09:06:26,+03:15:05
108,225,Egil Syre,,,01:44:55,04:49:29,09:07:09,+03:15:48
109,490,Annelise Gabrielle Drange Skogly,,Dale Fjelløpere,01:40:16,04:39:16,09:07:27,+03:16:06
110,79,Tore Leikvoll,,Gjesdal IL,01:44:07,04:42:15,09:09:44,+03:18:23
111,219,Andreas von der Lippe,,,01:41:29,04:36:22,09:11:16,+03:19:55
112,176,Tor Olav Høyekvam,,,01:44:46,04:42:10,09:11:19,+03:19:58
113,170,Konrad Kvitvær,,,01:44:47,04:42:10,09:11:20,+03:19:59
113,419,Pål Berge,,,01:40:22,04:42:06,09:11:20,+03:19:59
115,21,Peter Ellevseth,,,01:40:07,04:35:48,09:11:35,+03:20:14
116,77,Patrick Auestad,,Gjesdal IL,01:44:09,04:42:13,09:12:04,+03:20:43
117,371,Pål Erland,,,01:42:58,04:47:33,09:13:32,+03:22:11
118,90,Stine Elise Aarhaug,,Dale Fjelløpere,01:52:39,04:54:49,09:16:19,+03:24:58
119,40,Mette Berg,,,01:50:41,04:52:26,09:17:52,+03:26:31
119,414,Heidi Berg Strand,,,01:50:37,04:52:20,09:17:52,+03:26:31
121,397,Linus Leander Fiskå,,,02:01:17,04:53:44,09:19:10,+03:27:49
122,48,Morten Enåsen,,Jæren Sparebank,01:41:36,04:36:02,09:19:13,+03:27:52
123,221,håkon grutle,,,02:00:48,04:51:07,09:22:13,+03:30:52
124,199,Anders Joa,,Soko bil,01:51:55,04:53:44,09:22:23,+03:31:02
124,311,Johan Dahl,,,01:51:57,04:53:46,09:22:23,+03:31:02
126,177,Lars Lightning Holdt-Aanensen,,Pils & Puls,02:03:08,05:01:23,09:22:33,+03:31:12
127,248,Lars Anders Drange,,,02:03:20,05:01:25,09:22:34,+03:31:13
128,159,Anders Hagen,,,01:51:31,04:39:57,09:23:25,+03:32:04
129,125,Øyvind Svandal,,Lyse Aktiv,01:39:02,04:21:43,09:26:06,+03:34:45
130,155,Hans Christian Oddsen,,,01:49:59,04:36:27,09:26:22,+03:35:01
131,364,Gjermund Neteland,,,01:52:30,04:36:18,09:26:51,+03:35:30
132,165,Elin Gottberg,,,02:01:31,05:06:17,09:27:17,+03:35:56
133,73,Torstein Tjemsland,,,01:59:39,04:51:09,09:27:28,+03:36:07
134,89,John Petter Nordbø,,,01:59:41,04:51:08,09:27:30,+03:36:09
135,405,Arvid Berentsen,,,01:52:08,05:00:58,09:28:39,+03:37:18
136,229,Ingvald Vigre,,,01:43:22,04:39:52,09:29:04,+03:37:43
137,12,Arve Friestad,,Depro B.I.L,01:43:15,04:39:56,09:29:06,+03:37:45
138,420,Ole Sletta Olsen,,,02:01:53,05:01:06,09:29:26,+03:38:05
139,388,Mats Alsvik,,,01:51:33,04:42:14,09:29:48,+03:38:27
140,320,Eirik Hausken,,,01:58:17,05:03:59,09:30:42,+03:39:21
140,365,Andreas Terjesen,,Dale fjelløpere,01:58:14,05:04:04,09:30:42,+03:39:21
142,137,Ingrid Øvrebø,,,01:58:46,05:00:36,09:30:49,+03:39:28
143,144,Anders Holta,,Smedvig Investment Management,01:49:41,04:36:49,09:31:37,+03:40:16
144,108,Sean Gibb,,,01:46:38,04:44:43,09:32:16,+03:40:55
145,381,Kenneth Mydland,,,01:52:19,04:35:52,09:32:24,+03:41:03
146,474,Tommy Hodne,,,02:03:01,05:03:09,09:32:32,+03:41:11
147,123,Tore Tengesdal,,,01:48:37,04:52:03,09:32:56,+03:41:35
148,338,Håvard Degnes,,Tjensvoll IL,01:43:10,04:35:39,09:34:59,+03:43:38
149,237,Odd Erling Karlsen,,Viervegen Atletklubb,01:49:30,04:53:54,09:35:00,+03:43:39
150,52,Vegard Sæther,,LSA,01:49:21,04:51:02,09:35:58,+03:44:37
150,53,Knut Urdalen,,Notodden orienteringslag,01:49:21,04:52:01,09:35:58,+03:44:37
152,1,Thomas Meling,,Depro BIL,01:43:11,04:40:00,09:36:23,+03:45:02
153,289,Oddbjørn Kverneland,,,01:59:14,05:01:11,09:36:25,+03:45:04
154,468,Fredrik Steinskog,,Team Head Energy,01:59:09,05:00:49,09:36:27,+03:45:06
155,37,Mathias Vagle,,,01:43:17,04:35:53,09:36:34,+03:45:13
156,374,Torbjørn Selmer,,Team Head Energy,01:59:04,05:01:00,09:36:36,+03:45:15
157,154,Egil Qvale,,Sandnes IL,01:55:21,04:50:57,09:37:27,+03:46:06
158,39,Joakim Helvig,,Kodli IL,01:53:12,04:55:49,09:37:41,+03:46:20
159,99,Maiken Smylie-Gibb,,,01:52:36,05:05:23,09:37:46,+03:46:25
160,132,Erik Oaland,,,01:49:14,04:44:55,09:38:11,+03:46:50
161,240,Erlend Sandanger,,,01:58:09,05:01:13,09:39:26,+03:48:05
162,470,Thomas Johansen,,,02:03:41,05:09:44,09:39:43,+03:48:22
163,68,Erling Grønning,,330 skvadron,01:58:45,05:00:51,09:39:58,+03:48:37
164,500,Kalle Nilsen,,Dale Fjelløpere,01:53:41,05:02:17,09:40:34,+03:49:13
165,220,Bernt Grønning,,,01:44:39,04:47:32,09:41:43,+03:50:22
166,43,Anders Gjerde,,boost.ai,01:58:21,05:00:58,09:42:17,+03:50:56
167,379,Wolfgang Hasenburger,,Traunsee Bergmarathon,01:59:21,04:55:54,09:43:12,+03:51:51
168,391,Per Olav Strømsmo,,Prostate Runners,01:52:01,04:55:51,09:43:20,+03:51:59
169,218,Daniel Nesse Hansen,,Øl - olje - røykdykkerlag,02:01:54,04:53:59,09:43:53,+03:52:32
170,191,Benjamin Chin,,,01:56:38,04:55:54,09:43:55,+03:52:34
171,305,Per Inge Sommerseth,,,01:40:16,04:44:41,09:44:46,+03:53:25
172,348,Fredrik Hølland,,,02:01:50,05:16:06,09:44:57,+03:53:36
173,259,Thor Ivar Oaland,,Mud and rain,02:03:15,05:03:43,09:45:15,+03:53:54
174,14,Benjamin Buljo,,Jesus Elsker Deg,02:07:46,05:24:58,09:48:27,+03:57:06
175,249,Sondre Efteland Johansen,,,01:44:44,04:53:53,09:48:28,+03:57:07
176,124,Øyvind Salte,,,,05:01:23,09:49:55,+03:58:34
177,32,Ingmar Søyland,,Nærbø,01:43:21,04:35:40,09:50:46,+03:59:25
178,393,Egil Espedal,,,02:00:44,05:16:18,09:50:52,+03:59:31
179,434,Nina Espedal,,,02:00:44,05:16:18,09:50:53,+03:59:32
180,483,John Steinar Olsson,,Rogaland og Agder Beredskapsforening,01:57:19,05:07:55,09:51:07,+03:59:46
180,495,Håkon Smalås,,Rogaland og Agder Beredskapsforening,01:48:33,04:59:25,09:51:07,+03:59:46
182,133,Tore Gjedebo,,,01:58:56,05:22:42,09:51:58,+04:00:37
183,353,Siren Jøssang,,,02:02:50,05:05:33,09:52:07,+04:00:46
184,341,Vilde Voll,,,02:02:48,05:05:27,09:52:09,+04:00:48
185,412,Petter Fisketjøn,,,01:52:25,04:53:49,09:52:41,+04:01:20
186,333,KRISTIAN RYGH PETTERSEN,,,02:00:27,04:59:51,09:53:33,+04:02:12
187,487,Niklas Svendsen,,,02:00:40,05:01:37,09:54:26,+04:03:05
188,202,Roy Gjøse Larsen,,,01:43:38,04:39:34,09:54:44,+04:03:23
189,459,Lars Kristian Hegelstad,,Orre il,01:59:07,05:00:46,09:55:04,+04:03:43
190,441,Erik A. Macdonald Karlsen,,AS Ryfylke Trelast,01:59:24,05:10:08,09:55:15,+04:03:54
190,464,Pia Emilie Flendalen,,,01:59:23,05:10:13,09:55:15,+04:03:54
192,473,Martin Nilssen,,Jæren Sparebank/Gjesdal IL,01:55:17,05:09:32,09:55:36,+04:04:15
193,283,Mats Andersen,,Streber,01:55:19,05:09:33,09:55:38,+04:04:17
194,383,Silje Undheim,,,01:53:41,05:05:58,09:55:41,+04:04:20
195,192,Tormod Nybru,,,01:53:15,05:04:37,09:56:21,+04:05:00
196,435,Arnfinn Nessa,,,02:08:58,05:11:33,09:57:00,+04:05:39
197,318,Oscar Melaa,,,02:00:19,05:17:49,09:58:09,+04:06:48
198,84,Rolf Tommy Helgeland,,,02:00:24,04:50:56,09:59:49,+04:08:28
199,429,Magnar Rake,,,02:03:48,05:09:50,10:00:01,+04:08:40
200,300,Ole Voll,,,02:02:49,05:05:30,10:01:05,+04:09:44
201,118,Mads Hagen,,Envirex,01:53:09,05:03:21,10:01:33,+04:10:12
202,481,Bjarne Wagnsson,,,02:33:05,07:29:44,10:02:44,+04:11:23
203,135,Stian Bergevik,,,02:00:12,05:17:14,10:05:41,+04:14:20
204,478,Erik Frøiland,,Capone.no,02:13:13,05:28:40,10:06:26,+04:15:05
205,377,Kristian Søyland,,Bjerkreim IL,01:57:12,05:27:50,10:07:12,+04:15:51
206,19,Mark Jakob Tuestad,,,01:58:20,05:06:57,10:07:30,+04:16:09
207,47,Tomas (Team Tomas) Merkesdal Hall,,,01:47:49,04:57:48,10:08:15,+04:16:54
208,82,Bjarne Bore,,Logtek AS,01:43:59,04:52:06,10:08:46,+04:17:25
209,56,Magnus Ådnanes,,Equinor,02:04:22,05:27:58,10:11:06,+04:19:45
210,57,Amund Langøy,,FIL AKS-77,02:04:23,05:28:12,10:11:31,+04:20:10
211,340,Mathias Svanæs,,Kondis & Knekken,02:12:37,05:28:38,10:13:48,+04:22:27
212,134,Øyvind Bergeland,,,02:08:54,05:28:28,10:15:46,+04:24:25
213,175,Mariann Byrkjedal Edland,,,01:57:19,05:27:50,10:16:02,+04:24:41
214,484,Mads Gjesdal,,,01:59:02,05:17:11,10:16:43,+04:25:22
215,23,Alexander B. Sæbø,,,01:56:39,05:27:59,10:16:50,+04:25:29
216,315,Kristian Ellingsen,,,01:57:39,05:17:29,10:17:24,+04:26:03
217,486,Steffen Aaker,,,01:54:12,05:25:11,10:18:58,+04:27:37
218,205,Brage Branæs,,,02:08:56,05:28:19,10:20:38,+04:29:17
218,309,Christina Skjæveland,,,02:09:36,05:28:12,10:20:38,+04:29:17
220,195,Erlend Erevik,,,01:50:13,05:11:02,10:21:44,+04:30:23
221,94,Renars Joma,,,,05:38:48,10:21:58,+04:30:37
222,166,Anne Linn Nilsen,,,02:10:11,05:28:35,10:22:34,+04:31:13
223,46,Ulrik Svindland,,Feda IL,01:59:09,05:11:38,10:23:24,+04:32:03
224,152,Fredrik Ottosen,,,02:09:00,05:28:45,10:24:02,+04:32:41
225,215,Jørgen Løland Oaland,,Løland far&sønn,01:58:28,05:04:20,10:25:05,+04:33:44
225,462,Jan Olav Løland,,Løland far&sønn,01:52:48,04:55:57,10:25:05,+04:33:44
227,485,Synne Oaland Stangeland,,,01:58:28,05:22:29,10:25:56,+04:34:35
228,208,Eivind Ovedal,,,01:58:36,05:22:34,10:25:57,+04:34:36
229,97,Mats Andreas Tønnessen,,,02:08:51,05:38:22,10:26:58,+04:35:37
229,130,Erlend Fævelen,,GE Healthcare,02:08:52,05:38:44,10:26:58,+04:35:37
231,282,Elin Haarr,,,02:09:37,05:28:22,10:29:12,+04:37:51
232,161,Solveig Fridheim Torp,,Dale fjelløpere (DFL),02:09:25,05:28:23,10:29:15,+04:37:54
233,185,Andreas Jacobsen,,,02:14:18,05:37:26,10:31:28,+04:40:07
234,306,Karoline Sandal,,,02:00:27,05:06:07,10:32:00,+04:40:39
235,262,Håkon Dirdal,,,02:08:52,05:25:04,10:33:56,+04:42:35
236,378,Elisabeth Christie Ørke,,SUSI,02:02:47,05:26:12,10:36:29,+04:45:08
237,20,Morten Egaas,,Knaben og Fjotland IL,01:59:03,05:27:52,10:38:30,+04:47:09
237,399,Ole Johan Mål Netland,,,01:52:33,05:17:17,10:38:30,+04:47:09
237,426,Eivind Røynestad,,,01:52:32,05:17:20,10:38:30,+04:47:09
240,122,Ruben Hagen,,,01:53:35,05:06:16,10:39:47,+04:48:26
241,278,Vegard Larsen,,,01:56:28,05:17:03,10:41:39,+04:50:18
242,411,Roar Nøstbakken,,,02:04:06,05:37:28,10:42:12,+04:50:51
243,149,Christofer Gilje Skjæveland,,,02:10:26,05:30:43,10:42:30,+04:51:09
244,193,Robin Heradstveit,,,01:57:35,05:22:26,10:43:42,+04:52:21
245,463,Samuel Rønning,,"Gutta, kebab og rulleservice",02:13:19,05:29:52,10:44:12,+04:52:51
246,67,Marit Mostad,,,02:10:15,05:56:13,10:44:37,+04:53:16
247,106,Fredrik Fornes,,Grødem Runners,02:03:55,05:31:27,10:47:04,+04:55:43
247,119,Tim Rudi Veiteberg,,,02:03:57,05:35:00,10:47:04,+04:55:43
249,406,Bernt-Kristian Nerland,,,02:09:02,05:37:29,10:47:47,+04:56:26
250,330,Steffen Andersen,,Farsund Fitness,01:51:33,05:28:13,10:49:16,+04:57:55
251,317,Simen Auset,,Tonstad il,02:13:42,05:40:21,10:49:53,+04:58:32
252,230,Dag Ronny Fiskå,,,02:08:52,05:37:39,10:50:25,+04:59:04
253,449,Camilla Dahl,,,02:09:32,05:55:21,10:50:43,+04:59:22
254,442,Pål Garborg,,,02:01:50,05:30:27,10:51:23,+05:00:02
255,450,Mathias Handeland,,,02:13:33,05:37:36,10:52:05,+05:00:44
256,274,Simon Lima Grøtting,,,02:13:35,05:37:35,10:52:06,+05:00:45
257,465,Christopher Egeland Johansen,,,01:59:53,05:27:57,10:54:52,+05:03:31
258,350,Joakim Grødeland,,,01:59:50,05:28:02,10:55:00,+05:03:39
259,260,Marita Bergo,,Solstrålen,02:13:02,05:26:38,10:56:11,+05:04:50
260,499,Leanda Klingsheim,,Rogaland og Agder Beredskapsforening,02:03:36,05:37:04,10:56:13,+05:04:52
261,373,Jørgen Jakobsson,,Ptservice,01:58:25,05:35:05,10:57:00,+05:05:39
262,102,Tore Apeland Fossland,,,02:14:45,05:42:15,10:57:01,+05:05:40
263,222,Einar Angeltveit,,Team 30,02:12:55,05:35:48,10:57:02,+05:05:41
263,297,Martin Barland Slette,,Team 30,02:12:53,05:35:51,10:57:02,+05:05:41
265,395,Magnhild Hobberstad Aanestad,,,02:01:18,05:22:14,10:57:53,+05:06:32
266,276,Jan Ove Hobberstad Aanestad,,,02:01:23,05:22:15,10:57:56,+05:06:35
267,281,Sven Graef,,Dale fjelløpere,02:03:35,05:31:14,10:58:01,+05:06:40
268,107,Frank Vea,,,02:02:17,05:28:36,10:58:36,+05:07:15
269,239,Tormod Liseth,,,02:00:16,05:26:28,10:59:02,+05:07:41
270,494,Thorbjørn Berge,,,02:00:10,05:15:56,11:02:35,+05:11:14
271,408,Tor Reidar Berge,,Forsand,02:00:07,05:15:56,11:02:36,+05:11:15
272,201,Renathe Barka,,Team Lillian,02:13:57,06:01:02,11:06:30,+05:15:09
273,416,Sjoerd Pijpers,,,02:03:51,05:36:16,11:06:35,+05:15:14
274,427,Synnøve Lerang,,,02:15:27,06:00:33,11:08:22,+05:17:01
275,162,Steven Green,,,01:59:35,05:34:04,11:08:44,+05:17:23
276,197,Alejandro Kuha,,,02:08:40,05:43:41,11:08:58,+05:17:37
277,78,Angunn Øvrebø,,,02:10:07,05:48:44,11:10:23,+05:19:02
278,75,Njål Almenning,,,02:14:45,05:42:23,11:11:05,+05:19:44
279,71,Tor Andre Hølland,,Jæren Sparebank,01:58:38,05:46:10,11:12:54,+05:21:33
280,66,Sølve Eie,,Fiskå IF,02:10:36,06:01:18,11:12:58,+05:21:37
281,120,Kjell Flotve,,Hydro BIL,02:02:14,05:30:41,11:13:09,+05:21:48
282,105,Roy Ove Ommundsen,,Lura Lavterskel,02:15:42,05:47:27,11:13:20,+05:21:59
282,114,Anne Maren Aadnøy,,Lura Lavterskel,02:15:42,05:47:23,11:13:20,+05:21:59
284,87,Sania Sømme,,EY BIL,02:04:32,05:40:05,11:13:31,+05:22:10
285,253,Solfrid Erevik,,,02:12:47,05:59:02,11:14:33,+05:23:12
285,356,Ingunn S Fossan,,,02:14:16,06:01:19,11:14:33,+05:23:12
287,437,Hans Kristian Fjeldsaa,,,02:01:27,05:51:29,11:17:51,+05:26:30
288,121,Sture Svendsen,,"DFL, Shell, Havørn, Grødem Runners",02:08:45,06:13:54,11:18:22,+05:27:01
289,372,Robert Kusmierz,,,02:10:38,06:07:37,11:18:29,+05:27:08
290,252,Kristian Oppedal,,Sbf,02:13:11,06:01:01,11:18:46,+05:27:25
291,116,Petter Svendsen,,Dale Fjelløpere,02:08:43,06:13:52,11:18:50,+05:27:29
292,245,Kjersti Lindekleiv-Nordstrøm,,Konsmo IL,02:07:37,06:28:30,11:22:43,+05:31:22
293,265,Christer Haus Måland,,Hundvåg Runners,02:13:35,06:01:27,11:26:41,+05:35:20
294,339,Ronny Hauge,,,01:56:59,05:24:55,11:28:07,+05:36:46
295,380,SIMON SEITZBERG,,,02:15:15,06:01:02,11:28:15,+05:36:54
296,436,Hege Lillebø,,,02:13:28,05:43:03,11:28:45,+05:37:24
296,497,Peter Malde,,Rogaland og Agder Beredskapsforening,02:13:19,05:42:30,11:28:45,+05:37:24
298,370,Aleksander Næset,,Øye trail runners,02:12:40,05:49:15,11:30:54,+05:39:33
299,88,Ingvild Kristoffersen Midtbø,,,02:16:58,06:13:59,11:30:59,+05:39:38
300,290,Tom Nordstrøm,,Tratec Teknikken,02:12:47,05:49:14,11:31:00,+05:39:39
301,394,Espen Ljosland Johansson,,Kvinesdal IL,02:12:46,05:49:29,11:31:01,+05:39:40
302,58,Bjarne Ydstebø,,Finnøy IL,02:13:34,06:14:12,11:31:02,+05:39:41
303,65,Anne Lid,,"Dale Fjelløpere, Gti",02:08:46,06:01:17,11:32:53,+05:41:32
303,139,Tone Lambrigtsen,,DFL,02:08:46,06:01:23,11:32:53,+05:41:32
305,204,Julie Sviland,,,02:14:52,06:13:47,11:38:12,+05:46:51
306,241,Joakim Paulsen,,,02:10:04,,11:38:37,+05:47:16
307,64,Andreas Uppsata,,,02:11:17,06:05:34,11:39:17,+05:47:56
308,475,kay nydal,,,02:03:39,05:58:32,11:40:18,+05:48:57
309,396,Frode Krsitoffersen,,,02:04:29,05:59:00,11:40:22,+05:49:01
