Plass,BIB,Navn,Land,Klubb,Preikestolhytta,Sognesand,Mål,BAK
310,428,Anders Ytterbø Anfinsen,,,02:00:08,05:36:21,11:41:56,+05:50:35
311,63,Arild Anda,,Bryne Løpelag,02:12:53,06:00:17,11:42:37,+05:51:16
312,109,Tore Idsøe,,Bryne Løpelag,02:12:54,06:00:24,11:42:39,+05:51:18
313,404,Gunnar Aarseth,,,02:13:27,06:13:22,11:46:23,+05:55:02
314,261,Mika Kylmamaa,,Tjockisen springer,02:28:58,08:09:35,11:47:06,+05:55:45
315,301,Einar Moen,,,02:28:30,06:13:52,11:50:53,+05:59:32
316,496,Tor Kåre Steinskog,,Rogaland og Agder Beredskapsforening,02:13:27,05:42:35,11:51:35,+06:00:14
316,498,Arvid Lillebø,,Rogaland og Agder Beredskapsforening,02:13:27,05:43:05,11:51:35,+06:00:14
318,81,Bergliot Lekven,,,02:13:13,06:07:49,11:52:08,+06:00:47
319,231,Doris Løining,,,02:03:31,05:58:58,11:52:10,+06:00:49
320,153,Laura Palma,,DFL,02:10:21,06:13:54,11:52:21,+06:01:00
321,93,Alexander Engelsgjerd Stornes,,,02:08:49,06:13:52,11:52:25,+06:01:04
322,62,Maiken Kastmo,,Dale Fjelløpere,02:10:17,06:14:06,11:52:26,+06:01:05
323,34,Magnus Mjaaland,,,02:04:44,06:08:20,11:52:30,+06:01:09
324,268,Kurt H Norland,,,02:10:50,05:43:19,11:55:03,+06:03:42
325,271,Roald Tvedt,,,02:03:21,05:40:35,11:55:08,+06:03:47
326,385,Ole Næss,,,,05:43:33,11:55:09,+06:03:48
327,352,Renate Tunheim,,Veidekke BIL,02:10:23,06:09:39,11:56:41,+06:05:20
328,92,Alexander Wathne,,,02:10:20,06:09:28,11:56:42,+06:05:21
329,236,Linn Nærland,,Veidekke BIL,02:10:19,06:06:32,11:56:43,+06:05:22
330,216,Mina Gausel,,,02:12:32,05:55:13,11:57:49,+06:06:28
331,477,Anders Sakseid,,AMZ,02:10:49,06:18:35,11:58:12,+06:06:51
332,324,Gustavo Hinestrosa,,Auriol Kensington Rowing Club,02:12:18,06:18:33,11:58:43,+06:07:22
333,480,Daniel Wijk,,IF Skattmasarna,02:12:01,06:18:47,11:59:01,+06:07:40
334,250,Kjetil Bårdsen,,,02:08:16,06:13:37,11:59:13,+06:07:52
335,432,Grethe Marie Ånestad,,,02:21:11,,11:59:38,+06:08:17
336,25,Uno Jakobsen,,,02:09:13,06:35:54,12:01:33,+06:10:12
337,355,John Petter Strand,,,02:16:48,06:08:08,12:02:11,+06:10:50
338,390,Jenny Tøn,,,02:27:53,06:45:19,12:02:31,+06:11:10
339,336,Tristan Bjarnisson,,,02:10:02,05:59:01,12:02:38,+06:11:17
340,80,Silje Fuglestad,,,02:18:06,06:35:02,12:02:41,+06:11:20
340,85,Tor Espen Espedal,,,02:18:05,06:34:56,12:02:41,+06:11:20
342,41,Stian åserød Stian åserød,,Trolljeger ocr,02:14:37,06:06:34,12:03:56,+06:12:35
343,302,Trine Storm Dahl,,,02:22:37,06:06:56,12:04:00,+06:12:39
344,142,Roger Usken Nevestveit,,,02:23:30,06:23:44,12:04:54,+06:13:33
345,266,Asgeir Paulen,,Vinmonopolet Bedriftsidrettslag,02:18:40,06:14:08,12:04:58,+06:13:37
346,156,Frode Hesby,,,02:08:50,06:01:16,12:05:06,+06:13:45
347,233,Vidar Haukalid,,,02:15:25,06:18:53,12:10:40,+06:19:19
348,213,Kim Åke Sviland,,Dale Fjelløpere,02:14:49,06:13:35,12:11:41,+06:20:20
349,331,Lars Antonio Kay,,,02:14:48,06:13:49,12:11:44,+06:20:23
350,110,Thomas Førland Brekke,,,02:26:07,06:34:26,12:16:24,+06:25:03
351,115,Odd Ingve Garpestad,,Proplan,02:10:12,05:50:27,12:18:18,+06:26:57
352,74,Marianne Stockinger,,Bobler & Karbon,02:10:22,05:59:06,12:23:22,+06:32:01
353,256,Alexander Auestad,,,02:12:18,06:13:16,12:23:28,+06:32:07
354,212,Kenneth Giske,,,02:12:26,06:13:22,12:23:29,+06:32:08
354,361,Ingve Skogen,,,02:12:15,06:13:11,12:23:29,+06:32:08
356,257,Fredrik Skarsteen,,FS Runners,02:15:49,06:25:46,12:25:25,+06:34:04
357,307,Steffen Hæhre Nikodemussen,,FS FK,02:15:46,06:48:06,12:25:30,+06:34:09
358,251,Elise Haaland,,,02:11:59,06:11:02,12:33:41,+06:42:20
358,316,Fredrik Ernst,,,02:11:58,06:13:43,12:33:41,+06:42:20
360,200,Adrianna Opyrchal,,,02:11:56,06:06:24,12:34:00,+06:42:39
360,273,Daniel Fuglestad,,,02:11:57,06:06:21,12:34:00,+06:42:39
362,138,Kristian Winum Thorsen,,,02:00:56,06:09:45,12:38:58,+06:47:37
363,313,Roar Aardal,,UniMek AS,02:29:48,06:32:14,12:39:07,+06:47:46
364,127,Subject_A,,,02:16:35,06:29:58,12:39:09,+06:47:48
365,254,Elise Søyland,,,02:25:47,06:36:04,12:42:21,+06:51:00
365,349,Siri Anne Søyland,,,02:25:46,06:36:50,12:42:21,+06:51:00
367,363,Shahnaz Fossdal,,,02:33:12,07:19:28,12:55:13,+07:03:52
368,360,Brit Lise Steinkjellå,,,02:19:44,06:28:50,12:58:36,+07:07:15
369,418,Lars Ove Nordnes,,,02:22:41,06:46:19,13:07:10,+07:15:49
369,445,Morten Hill-Saurdal,,Egersund X-Trail,02:22:42,06:46:23,13:07:10,+07:15:49
371,292,Gonnar Gjedrem Skretting,,Løpegøy Hå Fjellspringarlag / Løpegøy,02:13:39,06:46:44,13:17:46,+07:26:25
372,91,Andreas Haugland,,First,02:26:57,06:50:01,13:32:17,+07:40:56
373,101,Stian Dahl,,First,02:26:58,06:50:24,13:32:18,+07:40:57
374,100,Håvard Benjaminsen,,First,02:26:56,06:49:55,13:32:23,+07:41:02
374,194,Sturla Hamnes,,First,02:27:02,07:16:27,13:32:23,+07:41:02
376,11,Trine Moen Hausken,,Stavanger Functional Fitness Klubb,02:23:22,07:01:32,13:33:00,+07:41:39
377,146,Sebastian Husby,,,02:24:29,06:46:41,13:34:49,+07:43:28
378,335,Frank Borger Wathne,,,02:32:44,07:03:08,13:43:14,+07:51:53
378,457,Hanne Haavardsholm,,,02:32:48,07:03:10,13:43:14,+07:51:53
380,401,Lillian Haldorsen,,,02:29:43,07:01:50,13:45:11,+07:53:50
381,439,Jonas Søyland,,Forsand IL,02:26:33,06:57:00,13:48:47,+07:57:26
382,18,David Pursley,,Fanclub,02:31:05,06:58:00,13:49:43,+07:58:22
383,9,Hilde Tverborgvik,,Fanclub,02:31:09,06:58:00,13:49:44,+07:58:23
384,126,Anne Grethe Soma,,Spirit/ Dale fjelløpere,02:27:08,06:43:12,13:57:39,+08:06:18
385,70,Oda Michelsen,,,02:34:43,07:01:32,14:10:13,+08:18:52
386,294,Christoffer Havnen,,,02:40:16,07:01:48,14:10:19,+08:18:58
DNF,407,Børge Sommerseth,,DFL,01:40:16,04:53:59,,
DNF,10,Kristian Steinnes,,,01:47:07,04:59:25,,
DNF,50,Kjartan Elias,,Tempo Triathlon klubb,01:38:02,05:08:50,,
DNF,325,Geir Lerang,,,02:02:05,05:22:59,,
DNF,76,Bo Højmark,,,01:57:23,05:27:24,,
DNF,117,Tormund Fevang,,First,02:26:57,06:56:00,,
DNF,238,Tarald Krogedal,,,02:20:45,06:56:00,,
DNF,140,Morgan Mobekk,,,02:41:27,07:39:36,,
DNF,275,May Helene Mobekk,,,02:41:36,07:39:36,,
DNF,214,Camilla Fossmark Strand,,,02:41:37,08:12:55,,
DNF,375,Tonje Therese Byberg,,,02:41:28,08:12:46,,
DNF,29,Lorraine Dugbartey,,,02:26:57,08:14:30,,
DNF,33,Jørgen Grønsund,,Sandnes IL,01:52:38,,,
DNS,22,Lars Melkild,,Dale Fjelløpere,,,,
DNS,28,Torstein Eike,,SK Vidar,,,,
DNS,35,Marius Hegre,,,,,,
DNS,49,Patrick Heng,,Spirit,,,,
DNS,51,Tomas Merkesdal Hall,,Team Tomas,,,,
DNS,55,Magnus Beksrud,,Magnus Beksrud,,,,
DNS,69,Tor Arne Gard,,,,,,
DNS,72,Rune Lunde,,,,,,
DNS,95,Arne Jørgensen,,Sparebank1 Sør Norge,,,,
DNS,98,Are Steinnes Ivesdal,,,,,,
DNS,103,Daniel Urke,,First,,,,
DNS,111,Stefan McDowell,,Team andpusten,,,,
DNS,112,Henrik Jahre,,First,,,,
DNS,136,Eirik Leikvoll Nedrebø,,Grødem Runners,,,,
DNS,141,Glenn Tjessem Nevland,,,,,,
DNS,145,Martin Lesjø,,,,,,
DNS,147,Øyvind Stakland,,,,,,
DNS,148,Daniel Salvesen,,Romerike Ultraløperklubb/Risør IL,,,,
DNS,151,Stian Hiim,,,,,,
DNS,157,Sivert Lie,,MC BIL,,,,
DNS,158,Daniel Kvam,,Riska Runners,,,,
DNS,160,Henning Larsen,,Fjorden Cowboys,,,,
DNS,163,Lasse Nordhus,,,,,,
DNS,164,Ronny Kristensen,,,,,,
DNS,167,Kjell Øyvind Ivar Rasmussen Sand,,,,,,
DNS,169,Andreas Ehrenclou,,,,,,
DNS,171,Erik Lothar Mühleisen,,,,,,
DNS,172,Jon Harstad,,DFFFR,,,,
DNS,173,Ragnar Vigdel,,Dale Fjelløpere,,,,
DNS,174,Eamonn O'Leary,,Wexford,,,,
DNS,178,Lise Fosså,,Valle IL,,,,
DNS,179,Even Frøland,,Veidekke BIL,,,,
DNS,180,Kristian Kirkengen,,Stayer Løpeklubb,,,,
DNS,181,Nina Hagen,,Veten IL,,,,
DNS,182,B Alexander Solberg,,AkerBP,,,,
DNS,183,Sivert Høyem Aronsen,,SEIL Løping,,,,
DNS,184,Søren Rønnelund,,Marathon Sport,,,,
DNS,187,Tomas Jørpeland,,Grødem Runners / Dale Fjelløpere,,,,
DNS,188,Julien Alcaraz,,,,,,
DNS,189,Andreas Mannes Aksdal,,,,,,
DNS,190,Olav Hareland,,,,,,
DNS,203,Sander Vidringstad Abrahamsen,,synspunkt.no (verdens beste optiker!),,,,
DNS,207,Frode Haukalid,,,,,,
DNS,209,Sveinung Haukalid,,Gangsperr Reise og Idrettslag,,,,
DNS,211,Cato Ousdal,,,,,,
DNS,223,Edmund Røsvik,,,,,,
DNS,224,Sander Green Tymczuk,,Kondis & Knekken,,,,
DNS,227,Torbjørn Joa,,,,,,
DNS,228,Hege Langeland Sandvik,,,,,,
DNS,242,Øyvind Tuntland,,,,,,
DNS,244,Hanne Haga,,,,,,
DNS,255,Nicolai Blix,,,,,,
DNS,269,Maria G Vigre,,,,,,
DNS,280,Mattias Ljunggren,,If BIL,,,,
DNS,284,Doreen Ehrenfeld,,,,,,
DNS,285,Thor Olav Farbrot,,,,,,
DNS,286,Renate Espedal,,Shift,,,,
DNS,291,Magnus Ueland,,MRC Bryne/VV Atletklubb,,,,
DNS,293,Øystein Sømme,,,,,,
DNS,296,Mariusz Robak,,Nordlogic,,,,
DNS,298,Jørn Sviland,,Sola Fellrunners,,,,
DNS,299,Kalle Simm,,,,,,
DNS,303,Marion Jørpeland Vatland,,Grødem Runners,,,,
DNS,304,Vegard Sørskår,,,,,,
DNS,308,Harald Eidsheim,,Mjøsdalen IL,,,,
DNS,312,Svein Oskar Nei,,Sirdal Løpeklubb,,,,
DNS,314,Stine Rugland Nordlid,,,,,,
DNS,319,Thea Hølland,,,,,,
DNS,322,Lill-Elisabeth Jensen,,,,,,
DNS,323,Frode Grøtteland,,,,,,
DNS,334,Jørn Søyland,,UL heim løpegruppe,,,,
DNS,337,Eira Celin Tangen,,,,,,
DNS,343,Samantha Cools,,,,,,
DNS,345,Ludvig Bostad,,Bardo running club,,,,
DNS,351,Noah Sandvik,,,,,,
DNS,354,Per Armand Thorbjørnsen,,,,,,
DNS,357,Benjamin Bø-Erevik,,,,,,
DNS,358,Aneeka Knapp,,,,,,
DNS,362,IdarKolnesGoa Gratulerer med dagen,,Grødem Runners,,,,
DNS,366,Linda Opheim,,Kristiansand løpeklubb,,,,
DNS,402,Michael Sandor,,,,,,
DNS,403,Randolph Behrens,,,,,,
DNS,409,Erik Haugland,,,,,,
DNS,410,Ådne Aadnøy Oftedal,,,,,,
DNS,415,Sofie Lerang,,,,,,
DNS,424,Reidar Kulshamar,,,,,,
DNS,430,Eivind Hagen,,,,,,
DNS,431,Lasse Stange Thorsen,,,,,,
DNS,433,Tomas Ryberg,,,,,,
DNS,440,Hans Hallaraker,,Finnås il,,,,
DNS,443,Christian Platou,,Sleipner Express,,,,
DNS,448,William Helmikstøl,,,,,,
DNS,453,No Show,,,,,,
DNS,455,Merete Langeland Livastøl,,Jørpeland,,,,
DNS,456,Raymond Helmikstøl,,,,,,
DNS,461,Magnus Rørbakken,,,,,,
DNS,466,Lisa Sølvberg,,VangsGull,,,,
DNS,467,Rune Faltinsen,,GTI,,,,
DNS,479,Merethe Eriksen,,,,,,
DNS,482,Michelle Gjerde,,,,,,
DNS,489,Tim Lelieveld,,Equinor BIL / Dale Fjelløpere,,,,
DNS,501,Morten Svela Svela,,Shift,,,,
